"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"7/20/2020","Walgreens","WALGREENS #0696 NASHVILLE TN","5.51","debit","Travel","DISCOVER IT CHROME CARD","",""
"7/20/2020","TST* FARM BURGER NASHVILLE TN","TST* FARM BURGER NASHVILLE TN","21.29","debit","Restaurants","DISCOVER IT CHROME CARD","",""
"7/20/2020","DISCOVER BANK NET/MOBILE","DISCOVER BANK    NET/MOBILE","1000.00","debit","Credit Card Payment","LIFEGREEN CHECKING F","",""
"7/17/2020","Fleet Street Pub","TST* FLEET STREET PUB NASHVILLE TN","9.74","debit","Alcohol & Bars","DISCOVER IT CHROME CARD","",""
"7/17/2020","Kroger Fuel","KROGER FUEL #9895 NASHVILLE TN","12.15","debit","Gas & Fuel","DISCOVER IT CHROME CARD","",""
"7/17/2020","Kroger","KROGER #895 NASHVILLE TN","4.91","debit","Groceries","DISCOVER IT CHROME CARD","",""
"7/17/2020","Kroger","KROGER #895 NASHVILLE TN","52.57","debit","Groceries","DISCOVER IT CHROME CARD","",""
"7/15/2020","Walgreens","WALGREENS #0696 NASHVILLE TN","5.51","debit","Fun","DISCOVER IT CHROME CARD","",""
"7/14/2020","Venmo Cashout","VENMO            CASHOUT","150.00","credit","Income","LIFEGREEN CHECKING F","",""
"7/14/2020","SERVICE 1253","GOOGLE *SERVICE  1253","55.00","debit","Auto & Transport","LIFEGREEN CHECKING F","",""
"7/14/2020","Wells Fargo Ifi","WELLS FARGO IFI  DDA TO DDA","1600.00","credit","Credit Card Payment","LIFEGREEN CHECKING F","",""
"7/13/2020","NES POWER UTILITY","NES POWER        UTILITY","138.45","debit","Utilities","LIFEGREEN CHECKING F","",""
"7/13/2020","Venmo Cashout","VENMO            CASHOUT","122.00","credit","Income","LIFEGREEN CHECKING F","",""
"7/12/2020","Kroger","KROGER #567 NASHVILLE TN","42.99","debit","Groceries","DISCOVER IT CHROME CARD","",""
"7/11/2020","Exxon","EXXONMOBIL NASHVILLE TN","22.92","debit","Gas & Fuel","DISCOVER IT CHROME CARD","",""
"7/11/2020","GAYLORDOPRYLANDSPNGF&B NASHVILLE TN01193R","GAYLORDOPRYLANDSPNGF&B NASHVILLE TN01193R","49.16","debit","Fun","DISCOVER IT CHROME CARD","",""
"7/11/2020","Bobbies Dairy Dip","BOBBIE'S DAIRY DIP NASHVILLE TN","12.29","debit","Dates","DISCOVER IT CHROME CARD","",""
"7/10/2020","Dollar Shave Club","DollarShaveClub  1253","4.00","debit","Subscriptions","LIFEGREEN CHECKING F","",""
"7/09/2020","ALLIANCEBERNSTEI PAYROLL","ALLIANCEBERNSTEI PAYROLL","1.00","credit","Paycheck","LIFEGREEN CHECKING F","",""
"7/08/2020","Oscar's Taco Shop","OSCAR'S TACO SHOP NASHVILLE TN","12.62","debit","Restaurants","DISCOVER IT CHROME CARD","",""
"7/08/2020","Kroger","KROGER #567 NASHVILLE TN","36.96","debit","Groceries","DISCOVER IT CHROME CARD","",""
"7/08/2020","INTERNET PAYMENT - THANK YOU","INTERNET PAYMENT - THANK YOU","1263.14","credit","Credit Card Payment","DISCOVER IT CHROME CARD","",""
"7/07/2020","Jersey Mike's","GROVE LAS JERSEY MIKE' LAS VEGAS NV","14.08","debit","Travel","DISCOVER IT CHROME CARD","",""
"7/07/2020","Hilton","HILTON SF FINANCIAL SAN FRANCISCOCA","322.26","credit","Travel","DISCOVER IT CHROME CARD","",""
"7/07/2020","Ballast Point B 1253","Ballast Point B  1253","12.24","debit","Travel","LIFEGREEN CHECKING F","",""
"7/07/2020","Apple","APPLE.COM/BILL   1253","0.99","debit","Subscriptions","LIFEGREEN CHECKING F","",""
"7/07/2020","Ballast Point B 1253","Ballast Point B  1253","17.41","debit","Travel","LIFEGREEN CHECKING F","",""
"7/07/2020","Door Dash","DOORDASH*BREAKF  1253","18.86","debit","Travel","LIFEGREEN CHECKING F","",""
"7/06/2020","Pacific Liquor House","PACIFIC LIQUOR HOUSE SAN DIEGO CA","14.00","debit","Travel","DISCOVER IT CHROME CARD","",""
"7/06/2020","Bird Rock Surf Shop","SQ *BIRD ROCK SURF SHO LA JOLLA CA0002305843013030","15.00","debit","Travel","DISCOVER IT CHROME CARD","",""
"7/06/2020","SEASIDE SMOOTHIE LA JOLLA CA000230584301303000","SQ *SEASIDE SMOOTHIE LA JOLLA CA000230584301303000","7.81","debit","Travel","DISCOVER IT CHROME CARD","",""
"7/06/2020","Spotify","Spotify USA      1253","10.94","debit","Subscriptions","LIFEGREEN CHECKING F","",""
"7/06/2020","Uber.com","UBER   TRIP      1253","60.25","debit","Travel","LIFEGREEN CHECKING F","",""
"7/05/2020","Oscars Mexican Seafood","OSCARS MEXICAN SEAFOOD SAN DIEGO CA","29.58","debit","Travel","DISCOVER IT CHROME CARD","",""
"7/04/2020","TST* DUNEDIN NEW ZEALAND SAN DIEGO CA","TST* DUNEDIN NEW ZEALAND SAN DIEGO CA","59.96","debit","Travel","DISCOVER IT CHROME CARD","",""
"7/03/2020","Circle K","CIRCLE K 00770 MORONGO VALLECA00380R","16.83","debit","Travel","DISCOVER IT CHROME CARD","",""
"7/03/2020","Circle K","CIRCLE K 00770 MORONGO VALLECA00391R","4.38","debit","Travel","DISCOVER IT CHROME CARD","",""
"7/03/2020","Vons","VONS #3058 YUCCA VALLEY CA","49.27","debit","Travel","DISCOVER IT CHROME CARD","",""
"7/03/2020","TST* MODERN TIMES- SANTA SANTA BARBARACA","TST* MODERN TIMES- SANTA SANTA BARBARACA","22.50","debit","Travel","DISCOVER IT CHROME CARD","",""
"7/03/2020","Chevron","CHEVRON 0090415 NEWBURY PARK CA00090415 1501302","40.89","debit","Travel","DISCOVER IT CHROME CARD","",""
"7/03/2020","Sams Market","SAMS MARKET & LIQUOR JOSHUA TREE CA","15.92","debit","Travel","DISCOVER IT CHROME CARD","",""
"7/03/2020","Amazon","Amazon web serv  1253","0.80","debit","Shopping","LIFEGREEN CHECKING F","",""
"7/02/2020","CVS","CVS/PHARMACY #09392 SANTA BARBARACA","34.59","debit","Travel","DISCOVER IT CHROME CARD","",""
"7/02/2020","THE PROJECT SB SANTA BARBARACA0001152921509307","SQ *THE PROJECT SB SANTA BARBARACA0001152921509307","18.41","debit","Travel","DISCOVER IT CHROME CARD","",""
"7/02/2020","Hilton","HILTON SF FINANCIAL 415-433-6600 CA","322.26","debit","Travel","DISCOVER IT CHROME CARD","",""
"7/02/2020","ABC*QNTM FIT LI 1253","ABC*QNTM FIT LI  1253","109.02","debit","Gym","LIFEGREEN CHECKING F","",""
"7/01/2020","CVS","CVS/PHARMACY #09612 CARMEL CA","41.89","debit","Travel","DISCOVER IT CHROME CARD","",""
"7/01/2020","FIG MTN. SANTA BARBARA SANTA BARBARACA","FIG MTN. SANTA BARBARA SANTA BARBARACA","41.00","debit","Travel","DISCOVER IT CHROME CARD","",""
"7/01/2020","LAUBS COUNTRY STORE CARMEL BY THECA","LAUBS COUNTRY STORE CARMEL BY THECA","38.05","debit","Travel","DISCOVER IT CHROME CARD","",""
"7/01/2020","Hilton","HILTON SF FINANCIAL 415-433-6600 CA","322.26","debit","Travel","DISCOVER IT CHROME CARD","",""
"7/01/2020","TST* THE POCKET - CARMEL CARMEL BY THECA","TST* THE POCKET - CARMEL CARMEL BY THECA","112.22","debit","Travel","DISCOVER IT CHROME CARD","",""
"7/01/2020","INTERNET PAYMENT - THANK YOU","INTERNET PAYMENT - THANK YOU","166.16","credit","Credit Card Payment","DISCOVER IT CHROME CARD","",""
"7/01/2020","Uber.com","UBER   TRIP      1253","19.61","debit","Travel","LIFEGREEN CHECKING F","",""
"6/30/2020","WHALE CITY BAKERY BAR DAVENPORT CA","WHALE CITY BAKERY BAR DAVENPORT CA","17.70","debit","Travel","DISCOVER IT CHROME CARD","",""
"6/30/2020","Rotten Robbie","ROTTEN ROBBIE #35 SANTA CRUZ CA","2.70","debit","Travel","DISCOVER IT CHROME CARD","",""
"6/30/2020","LAUBS COUNTRY STORE CARMEL BY THECA","LAUBS COUNTRY STORE CARMEL BY THECA","44.03","debit","Travel","DISCOVER IT CHROME CARD","",""
"6/30/2020","RIPPLEWOOD RESORT BIG SUR CA000115292150930246","SQ *RIPPLEWOOD RESORT BIG SUR CA000115292150930246","3.00","debit","Travel","DISCOVER IT CHROME CARD","",""
"6/30/2020","Maru","MARU SUSHI.      1253","57.03","debit","Travel","LIFEGREEN CHECKING F","",""
"6/30/2020","Uber.com","UBER   TRIP      1253","20.26","debit","Travel","LIFEGREEN CHECKING F","",""
"6/29/2020","7-Eleven","7-ELEVEN 35696 SAN FRANCISCOCA","2.89","debit","Travel","DISCOVER IT CHROME CARD","",""
"6/29/2020","Uber Eats","UBER   EATS      1253","36.94","debit","Travel","LIFEGREEN CHECKING F","",""
"6/29/2020","MEDIUM MONTHLY 1253","MEDIUM MONTHLY   1253","5.00","debit","Subscriptions","LIFEGREEN CHECKING F","",""
"6/28/2020","Walgreens","WALGREENS #893 SAN FRANCISCOCA","3.09","debit","Travel","DISCOVER IT CHROME CARD","",""
"6/28/2020","Pier 1 Imports","PIER 23 CAFE SAN FRANCISCOCA","53.12","debit","Furnishings","DISCOVER IT CHROME CARD","",""
"6/28/2020","Walgreens","WALGREENS #6625 SAN FRANCISCOCA","3.03","debit","Travel","DISCOVER IT CHROME CARD","",""
"6/28/2020","Starbucks","STARBUCKS C12 BNA NASHVILLE TN3896","9.17","debit","Travel","DISCOVER IT CHROME CARD","",""
"6/27/2020","Oscar's Taco Shop","OSCAR'S TACO SHOP NASHVILLE TN","4.05","debit","Restaurants","DISCOVER IT CHROME CARD","",""
"6/25/2020","ALLIANCEBERNSTEI PAYROLL","ALLIANCEBERNSTEI PAYROLL","1.00","credit","Paycheck","LIFEGREEN CHECKING F","",""
"6/24/2020","Walgreens","WALGREENS #0696 NASHVILLE TN","5.51","debit","Fun","DISCOVER IT CHROME CARD","",""
"6/24/2020","Kroger Fuel","KROGER FUEL #9895 NASHVILLE TN","22.62","debit","Gas & Fuel","DISCOVER IT CHROME CARD","",""
"6/24/2020","Kroger","KROGER #895 NASHVILLE TNCASHOVER $ 20.00 PURCHASES","39.62","debit","Groceries","DISCOVER IT CHROME CARD","",""
"6/24/2020","Coinbase.com","COINBASE.COM     8889087930","102.41","credit","Income","LIFEGREEN CHECKING F","",""
"6/23/2020","HEALTHWAREHOUSE 1253","HEALTHWAREHOUSE  1253","18.00","debit","Pharmacy","LIFEGREEN CHECKING F","",""
"6/23/2020","INTERNET PAYMENT - THANK YOU","INTERNET PAYMENT - THANK YOU","474.28","credit","Credit Card Payment","DISCOVER IT CHROME CARD","",""
"6/22/2020","East Nashville Beer Works LLC","EAST NASHVILLE BEER WORK NASHVILLE TN","17.30","debit","Alcohol & Bars","DISCOVER IT CHROME CARD","",""
"6/22/2020","East Nashville Beer Works LLC","EAST NASHVILLE BEER WORK NASHVILLE TN","8.65","debit","Alcohol & Bars","DISCOVER IT CHROME CARD","",""
"6/21/2020","Kroger","KROGER #571 HENDERSONVILLTN","49.25","debit","Groceries","DISCOVER IT CHROME CARD","",""
"6/20/2020","Chick-Fil-A","CHICK-FIL-A #04259 6155495902 TN","19.77","debit","Restaurants","DISCOVER IT CHROME CARD","",""
"6/20/2020","MAPCO 3338 NASHVILLE TN","MAPCO 3338 NASHVILLE TN","13.43","debit","Gas & Fuel","DISCOVER IT CHROME CARD","",""
"6/19/2020","Chipotle","CHIPOTLE 1687 NASHVILLE TN","8.36","debit","Restaurants","DISCOVER IT CHROME CARD","",""
"6/19/2020","Venmo Cashout","VENMO            CASHOUT","78.00","credit","Income","LIFEGREEN CHECKING F","",""
"6/17/2020","Airbnb","AIRBNB HMJFXPJSDE 855-424-7262 CA","62.76","debit","Hotel","DISCOVER IT CHROME CARD","",""
"6/16/2020","Taco Mamacita's","TACO MAMACITA NASHVILLE NASHVILLE TN","44.31","debit","Restaurants","DISCOVER IT CHROME CARD","",""
"6/16/2020","Walgreens","WALGREENS #0696 NASHVILLE TN","5.51","debit","Fun","DISCOVER IT CHROME CARD","",""
"6/15/2020","Kroger","KROGER #567 NASHVILLE TN","48.04","debit","Groceries","DISCOVER IT CHROME CARD","",""
"6/15/2020","Google","GOOGLE*SERVICES  1253","55.00","debit","Internet","LIFEGREEN CHECKING F","",""
"6/14/2020","BELLA NAPOLI NASHVILLE TN","BELLA NAPOLI NASHVILLE TN","88.50","debit","Dates","DISCOVER IT CHROME CARD","",""
"6/14/2020","MAGIC MARKET NASHVILLE TN","MAGIC MARKET NASHVILLE TN","18.77","debit","Fun","DISCOVER IT CHROME CARD","",""
"6/14/2020","Jackalope Brewing Company, LLC","JACKALOPE BREWING COMPA NASHVILLE TN","18.53","debit","Dates","DISCOVER IT CHROME CARD","",""
"6/13/2020","Exxon","EXXONMOBIL NASHVILLE TN","5.45","debit","Fun","DISCOVER IT CHROME CARD","",""
"6/13/2020","Oscar's Taco Shop","OSCAR'S TACO SHOP NASHVILLE TN","11.91","debit","Restaurants","DISCOVER IT CHROME CARD","",""
"6/12/2020","Trader Joe's","TRADER JOE'S #664 QPS NASHVILLE TN","39.16","debit","Groceries","DISCOVER IT CHROME CARD","",""
"6/12/2020","Chipotle","CHIPOTLE 1687 NASHVILLE TN","7.81","debit","Restaurants","DISCOVER IT CHROME CARD","",""
"6/12/2020","RED DOOR EAST NASHVILLE TN","RED DOOR EAST NASHVILLE TN","20.21","debit","Alcohol & Bars","DISCOVER IT CHROME CARD","",""
"6/12/2020","CASHBACK BONUS REDEMPTION payment/STMT CRDT","CASHBACK BONUS REDEMPTION PYMT/STMT CRDT","11.12","credit","Bonus","DISCOVER IT CHROME CARD","",""
"6/12/2020","INTERNET PAYMENT - THANK YOU","INTERNET PAYMENT - THANK YOU","167.21","credit","Credit Card Payment","DISCOVER IT CHROME CARD","",""
"6/11/2020","Dick's Sporting","DICK'S SPORTING #289 NASHVILLE TN","71.34","credit","Sporting Goods","DISCOVER IT CHROME CARD","",""
"6/11/2020","Kroger Fuel","KROGER FUEL #9547 NASHVILLE TN","21.08","debit","Gas & Fuel","DISCOVER IT CHROME CARD","",""
"6/11/2020","Airbnb","AIRBNB HMJFXPJSDE 855-424-7262 CA","62.77","debit","Travel","DISCOVER IT CHROME CARD","",""
"6/11/2020","NES POWER UTILITY","NES POWER        UTILITY","99.32","debit","Utilities","LIFEGREEN CHECKING F","",""
"6/11/2020","ALLIANCEBERNSTEI PAYROLL","ALLIANCEBERNSTEI PAYROLL","1.00","credit","Paycheck","LIFEGREEN CHECKING F","",""
"6/10/2020","Southwest Airlines","SOUTHWES    526  1253","102.98","debit","Travel","LIFEGREEN CHECKING F","",""
"6/10/2020","Dollar Shave Club","DollarShaveClub  1253","4.00","debit","Subscriptions","LIFEGREEN CHECKING F","",""
"6/09/2020","Walgreens","WALGREENS #0696 NASHVILLE TN","5.51","debit","Fun","DISCOVER IT CHROME CARD","",""
"6/09/2020","Venmo","VENMO            PAYMENT","15.00","debit","Alcohol & Bars","LIFEGREEN CHECKING F","",""
"6/08/2020","BELLA NAPOLI NASHVILLE TN","BELLA NAPOLI NASHVILLE TN","15.11","debit","Restaurants","DISCOVER IT CHROME CARD","",""
"6/08/2020","Sunnyfoxstore","SUNNYFOXSTORE    5691","35.00","credit","Income","LIFEGREEN CHECKING F","",""
"6/08/2020","Venmo Cashout","VENMO            CASHOUT","114.00","credit","Income","LIFEGREEN CHECKING F","",""
"6/08/2020","Apple","APPLE.COM/BILL   1253","0.99","debit","Subscriptions","LIFEGREEN CHECKING F","",""
"6/08/2020","Uber Eats","UBER   EATS      1253","37.74","debit","Restaurants","LIFEGREEN CHECKING F","",""
"6/08/2020","INTERNET PAYMENT - THANK YOU","INTERNET PAYMENT - THANK YOU","327.33","credit","Credit Card Payment","DISCOVER IT CHROME CARD","",""
"6/07/2020","Walgreens","WALGREENS #0696 NASHVILLE TN","5.51","debit","Fun","DISCOVER IT CHROME CARD","",""
"6/07/2020","Kroger","KROGER #596 BRENTWOOD TN","52.45","debit","Groceries","DISCOVER IT CHROME CARD","",""
"6/07/2020","Blue Coast Burrito, Inc.","BLUE COAST BURRITO 2 NASHVILLE TN","11.12","debit","Restaurants","DISCOVER IT CHROME CARD","",""
"6/07/2020","Kroger","KROGER #596 BRENTWOOD TN","22.93","debit","Groceries","DISCOVER IT CHROME CARD","",""
"6/06/2020","Kroger","KROGER #520 ANTIOCH TN","5.83","debit","Groceries","DISCOVER IT CHROME CARD","",""
"6/05/2020","Spotify","Spotify USA      1253","10.94","debit","Subscriptions","LIFEGREEN CHECKING F","",""
"6/05/2020","Venmo","VENMO            PAYMENT","45.00","debit","Alcohol & Bars","LIFEGREEN CHECKING F","",""
"6/05/2020","Venmo","VENMO            PAYMENT","45.00","debit","Alcohol & Bars","LIFEGREEN CHECKING F","",""
"6/05/2020","Kroger","KROGER #567 NASHVILLE TN","28.14","debit","Groceries","DISCOVER IT CHROME CARD","",""
"6/05/2020","Publix","PUBLIX #1680 NASHVILLE TN","14.88","debit","Groceries","DISCOVER IT CHROME CARD","",""
"6/05/2020","BP","BP#8772717MAPCO #3420 NASHVILLE TN","5.95","debit","Fun","DISCOVER IT CHROME CARD","",""
"6/04/2020","Amazon","Amazon web serv  1253","0.80","debit","Shopping","LIFEGREEN CHECKING F","",""
"6/03/2020","Exxon","EXXONMOBIL NASHVILLE TN","10.90","debit","Fun","DISCOVER IT CHROME CARD","",""
"6/02/2020","Southwest Airlines","SW AIR DALLAS TX","152.98","debit","Travel","DISCOVER IT CHROME CARD","",""
"6/02/2020","ABC*QNTM FIT LI 1253","ABC*QNTM FIT LI  1253","109.02","debit","Gym","LIFEGREEN CHECKING F","",""
"6/01/2020","Uber Eats","UBER   EATS      1253","19.15","debit","Restaurants","LIFEGREEN CHECKING F","",""
"6/01/2020","Uber Eats","UBER   EATS      1253","2.00","debit","Restaurants","LIFEGREEN CHECKING F","",""
"5/31/2020","Exxon","EXXONMOBIL NASHVILLE TN","10.90","debit","Fun","DISCOVER IT CHROME CARD","",""
"5/31/2020","Kroger","KROGER #567 NASHVILLE TN","12.81","debit","Groceries","DISCOVER IT CHROME CARD","",""
"5/31/2020","Kroger","KROGER #547 NASHVILLE TN","14.45","debit","Groceries","DISCOVER IT CHROME CARD","",""
"5/30/2020","D Andrews Bakery Cafe","TST* D ANDREWS BAKERY NASHVILLE TN","23.08","debit","Restaurants","DISCOVER IT CHROME CARD","",""
"5/30/2020","Kroger","KROGER #571 HENDERSONVILLTN","4.56","debit","Groceries","DISCOVER IT CHROME CARD","",""
"5/29/2020","EZ Mart","EZ MART C STORE NASHVILLE TN","6.00","debit","Shopping","DISCOVER IT CHROME CARD","",""
"5/29/2020","Marathon","MARATHON PETRO172502 NASHVILLE TN","4.81","debit","Gas & Fuel","DISCOVER IT CHROME CARD","",""
"5/29/2020","Metro","L2G*METRO PARKS 615-86 NASHVILLE TN3782512556","13.30","debit","Utilities","DISCOVER IT CHROME CARD","",""
"5/28/2020","MEDIUM MONTHLY 1253","MEDIUM MONTHLY   1253","5.00","debit","Subscriptions","LIFEGREEN CHECKING F","",""
"5/28/2020","ALLIANCEBERNSTEI PAYROLL","ALLIANCEBERNSTEI PAYROLL","1.00","credit","Paycheck","LIFEGREEN CHECKING F","",""
"5/27/2020","Walgreens","WALGREENS #0696 NASHVILLE TN","5.51","debit","Fun","DISCOVER IT CHROME CARD","",""
"5/26/2020","INTERNET PAYMENT - THANK YOU","INTERNET PAYMENT - THANK YOU","279.64","credit","Credit Card Payment","DISCOVER IT CHROME CARD","",""
"5/25/2020","Pilot Travel Center","PILOT 04599 MONTEAGLE TN","12.02","debit","Gas & Fuel","DISCOVER IT CHROME CARD","",""
"5/25/2020","Kroger","KROGER #592 FRANKLIN TN","66.91","debit","Groceries","DISCOVER IT CHROME CARD","",""
"5/23/2020","Shell","SHELL 57545872905 CHATTANOOGA TN","19.61","debit","Gas & Fuel","DISCOVER IT CHROME CARD","",""
"5/22/2020","Oscar's Taco Shop","OSCAR'S TACO SHOP NASHVILLE TN","11.91","debit","Restaurants","DISCOVER IT CHROME CARD","",""
"5/22/2020","4 Way Market","4 WAY MARKET NASHVILLE TN","16.37","debit","Fun","DISCOVER IT CHROME CARD","",""
"5/21/2020","Chipotle","CHIPOTLE 1687 NASHVILLE TN","8.36","debit","Restaurants","DISCOVER IT CHROME CARD","",""
"5/19/2020","WALGREENS #0696 NASHVILLE TN","WALGREENS #0696 NASHVILLE TN","5.51","debit","Fun","DISCOVER IT CHROME CARD","",""
"5/19/2020","BANK CREDIT FEE REFUND","BANK CREDIT      FEE REFUND","36.00","credit","Fees & Charges","LIFEGREEN CHECKING F","",""
"5/19/2020","Nu Power Yoga LLC","NUPOWERYOGA      1253","10.00","debit","Gym","LIFEGREEN CHECKING F","",""
"5/18/2020","DISCOVER BANK PREARRANGE","DISCOVER BANK    PREARRANGE","800.00","credit","Credit Card Payment","LIFEGREEN CHECKING F","",""
"5/17/2020","Kroger","KROGER #502 NASHVILLE TN","13.57","debit","Groceries","DISCOVER IT CHROME CARD","",""
"5/16/2020","Chipotle","CHIPOTLE 1687 NASHVILLE TN","7.81","debit","Restaurants","DISCOVER IT CHROME CARD","",""
"5/16/2020","WALGREENS #0696 NASHVILLE TN","WALGREENS #0696 NASHVILLE TN","5.51","debit","Fun","DISCOVER IT CHROME CARD","",""
"5/16/2020","Kroger","KROGER #567 NASHVILLE TN","40.74","debit","Groceries","DISCOVER IT CHROME CARD","",""
"5/16/2020","VUI'S KITCHEN NASHVILLE TN00023058430129222425","SQ *VUI'S KITCHEN NASHVILLE TN00023058430129222425","10.83","debit","Restaurants","DISCOVER IT CHROME CARD","",""
"5/16/2020","VUI'S KITCHEN NASHVILLE TN00023058430129222305","SQ *VUI'S KITCHEN NASHVILLE TN00023058430129222305","11.30","debit","Restaurants","DISCOVER IT CHROME CARD","",""
"5/15/2020","RAINS MARKET EATERY NASHVILLE TN","RAINS MARKET EATERY NASHVILLE TN","10.91","debit","Groceries","DISCOVER IT CHROME CARD","",""
"5/15/2020","Oscar's Taco Shop","OSCAR'S TACO SHOP NASHVILLE TN","9.19","debit","Restaurants","DISCOVER IT CHROME CARD","",""
"5/14/2020","CASHBACK BONUS REDEMPTION payment/STMT CRDT","CASHBACK BONUS REDEMPTION PYMT/STMT CRDT","9.38","credit","Bonus","DISCOVER IT CHROME CARD","",""
"5/14/2020","J.Crew","J CREW FACTORY.COM 212-209-2500 VA","96.75","debit","Clothing","DISCOVER IT CHROME CARD","",""
"5/14/2020","INTERNET PAYMENT - THANK YOU","INTERNET PAYMENT - THANK YOU","119.91","credit","Credit Card Payment","DISCOVER IT CHROME CARD","",""
"5/14/2020","NSF OD FEE","NSF OD FEE","36.00","debit","Fees & Charges","LIFEGREEN CHECKING F","",""
"5/14/2020","ALLIANCEBERNSTEI PAYROLL","ALLIANCEBERNSTEI PAYROLL","1.00","credit","Paycheck","LIFEGREEN CHECKING F","",""
"5/14/2020","Cumberland 1","Cumberland on Ch WEB PMTS","51.90","debit","Mortgage & Rent","LIFEGREEN CHECKING F","",""
"5/14/2020","Google","GOOGLE*SERVICES  1253","55.00","debit","Internet","LIFEGREEN CHECKING F","",""
"5/14/2020","Square Cash App","Square Inc       * Cash App","30.00","credit","Income","LIFEGREEN CHECKING F","",""
"5/12/2020","NES POWER UTILITY","NES POWER        UTILITY","104.37","debit","Utilities","LIFEGREEN CHECKING F","",""
"5/11/2020","EXXONMOBIL NASHVILLE TN","EXXONMOBIL NASHVILLE TN","11.27","debit","Fun","DISCOVER IT CHROME CARD","",""
"5/11/2020","Dollar Shave Club","DollarShaveClub  1253","4.00","debit","Subscriptions","LIFEGREEN CHECKING F","",""
"5/10/2020","Kroger","KROGER #502 NASHVILLE TN","15.76","debit","Groceries","DISCOVER IT CHROME CARD","",""
"5/10/2020","Kroger Fuel","KROGER FUEL #9571 HENDERSONVILLTN","13.56","debit","Gas & Fuel","DISCOVER IT CHROME CARD","",""
"5/10/2020","Wal-Mart","WAL-MART SC - #0695 MADISON TN","12.26","debit","Groceries","DISCOVER IT CHROME CARD","",""
"5/10/2020","MITCHELL DELI 615-262-9863 TN","MITCHELL DELI 615-262-9863 TN","27.66","debit","Restaurants","DISCOVER IT CHROME CARD","",""
"5/10/2020","Kroger","KROGER #571 HENDERSONVILLTN","9.83","debit","Groceries","DISCOVER IT CHROME CARD","",""
"5/10/2020","INTERNET PAYMENT - THANK YOU","INTERNET PAYMENT - THANK YOU","220.25","credit","Credit Card Payment","DISCOVER IT CHROME CARD","",""
"5/09/2020","Shell","SHELL 57527382709 BRENTWOOD TN","19.65","debit","Gas & Fuel","DISCOVER IT CHROME CARD","",""
"5/09/2020","Chipotle","CHIPOTLE 1370 NASHVILLE TN","7.65","debit","Restaurants","DISCOVER IT CHROME CARD","",""
"5/09/2020","FRUGAL MACDOOGAL LIQUO NASHVILLE TN","FRUGAL MACDOOGAL LIQUO NASHVILLE TN","22.92","debit","Alcohol & Bars","DISCOVER IT CHROME CARD","",""
"5/07/2020","Kroger","KROGER #547 NASHVILLE TN","9.81","debit","Groceries","DISCOVER IT CHROME CARD","",""
"5/07/2020","Kroger","KROGER #547 NASHVILLE TN","36.57","debit","Groceries","DISCOVER IT CHROME CARD","",""
"5/07/2020","Apple","APPLE.COM/BILL   1253","0.99","debit","Subscriptions","LIFEGREEN CHECKING F","",""
"5/06/2020","WALGREENS #0696 NASHVILLE TN","WALGREENS #0696 NASHVILLE TN","5.51","debit","Fun","DISCOVER IT CHROME CARD","",""
"5/05/2020","Savin","SAVI URBAN MARKET NASHVILLE TN","12.12","debit","Electronics & Software","DISCOVER IT CHROME CARD","",""
"5/05/2020","Spotify","Spotify USA      1253","10.94","debit","Subscriptions","LIFEGREEN CHECKING F","",""
"5/04/2020","ABC*QNTM FIT LI 1253","ABC*QNTM FIT LI  1253","137.48","debit","Gym","LIFEGREEN CHECKING F","",""
"5/03/2020","DICK'S CLOTHING&SPORTING FRANKLIN TN","DICK'S CLOTHING&SPORTING FRANKLIN TN","71.34","debit","Clothing","DISCOVER IT CHROME CARD","",""
"5/03/2020","Walgreens","WALGREENS #0696 NASHVILLE TN","5.51","debit","Pharmacy","DISCOVER IT CHROME CARD","",""
"5/03/2020","Kroger","KROGER #526 FRANKLIN TN","32.59","debit","Groceries","DISCOVER IT CHROME CARD","",""
"5/03/2020","TST* THAI ESANE NASHVILLE TN","TST* THAI ESANE NASHVILLE TN","46.80","debit","Restaurants","DISCOVER IT CHROME CARD","",""
"5/02/2020","INTERNET PAYMENT - THANK YOU","INTERNET PAYMENT - THANK YOU","113.24","credit","Credit Card Payment","DISCOVER IT CHROME CARD","",""
"4/30/2020","ALLIANCEBERNSTEI PAYROLL","ALLIANCEBERNSTEI PAYROLL","1.00","credit","Paycheck","LIFEGREEN CHECKING F","",""
"4/30/2020","Cumberland 1","Cumberland on Ch WEB PMTS","818.50","debit","Mortgage & Rent","LIFEGREEN CHECKING F","",""
"4/29/2020","DISCOVER BANK PREARRANGE","DISCOVER BANK    PREARRANGE","200.00","credit","Credit Card Payment","LIFEGREEN CHECKING F","",""
"4/29/2020","The Golf Warehouse","THE GOLF WAREHO  1253","148.54","debit","Shopping","LIFEGREEN CHECKING F","",""
"4/28/2020","Kroger","KROGER #880 NASHVILLE TN","19.62","debit","Fun","DISCOVER IT CHROME CARD","",""
"4/28/2020","Kroger Fuel","KROGER FUEL #9880 NASHVILLE TN","17.25","debit","Gas & Fuel","DISCOVER IT CHROME CARD","",""
"4/28/2020","Venmo Cashout","VENMO            CASHOUT","272.00","credit","Credit Card Payment","LIFEGREEN CHECKING F","",""
